browser	avgsessionduration
Android Browser	39.18
BlackBerry	17.0
Chrome	152.18
Firefox	213.47
IE with Chrome Frame	28.0
Internet Explorer	39.11
Maxthon	1
Opera	112.68
Safari (in-app)	21.86
no-ua	984.0
