video,session,percentage
3-S-C,24,10
3-W-A,136,20,
4-S-B,21,42
4-W-B,25,50
4-W-C,18,36
6-1-S-A,167,80
6-1-W-A,116,55
6-1-W-B,61,12
6-1-W-C,48,96
6-2-S-A,121,60
6-2-W-A,88,44
6-2-W-B,46,92
6-3-S-A,108,54
6-3-S-B,43,21
6-3-W-A,77,33
6-3-W-B,36,72
6-3-W-C,28,56
6-4-S-A,92,46
